title	developer	publisher	release date	
Apollo Justice: Ace Attorney	Capcom	Capcom	<span data-sort-value="000000002017-11-21-0000" style="white-space:nowrap">November 21, 2017	
River City: Rival Showdown	Natsume	Arc System Works	<span data-sort-value="000000002017-11-21-0000" style="white-space:nowrap">November 21, 2017	
Pokémon Ultra Moon	Game Freak	The Pokémon Company	<span data-sort-value="000000002017-11-17-0000" style="white-space:nowrap">November 17, 2017	
Pokémon Ultra Sun	Game Freak	The Pokémon Company	<span data-sort-value="000000002017-11-17-0000" style="white-space:nowrap">November 17, 2017	
Mario Party: The Top 100	NDcube	Nintendo	<span data-sort-value="000000002017-11-10-0000" style="white-space:nowrap">November 10, 2017	
Bonds of the Skies	Hit-point	Kemco	<span data-sort-value="000000002017-11-09-0000" style="white-space:nowrap">November 9, 2017	
RTO	nuGAME	nuGAME	<span data-sort-value="000000002017-11-09-0000" style="white-space:nowrap">November 9, 2017	
Hiding Out	Green Lightning	Green Lightning	<span data-sort-value="000000002017-11-06-0000" style="white-space:nowrap">November 6, 2017	
'Phil''s Epic Fill-a-Pix Adventure'	Lightwood Games	Lightwood Games	<span data-sort-value="000000002017-11-02-0000" style="white-space:nowrap">November 2, 2017	
Physical Contact: 2048	Collavier	Collavier Corporation	<span data-sort-value="000000002017-11-02-0000" style="white-space:nowrap">November 2, 2017	
Physical Contact: Speed	Collavier	Collavier Corporation	<span data-sort-value="000000002017-11-02-0000" style="white-space:nowrap">November 2, 2017	
Creeping Terror	Sushi Typhoon Games	Mebius, Aksys Games	<span data-sort-value="000000002017-10-31-0000" style="white-space:nowrap">October 31, 2017	
Halloween Night Archery	Petite Games	Petite Games	<span data-sort-value="000000002017-10-26-0000" style="white-space:nowrap">October 26, 2017	
Worcle Worlds	Lightwood Games	Lightwood Games	<span data-sort-value="000000002017-10-26-0000" style="white-space:nowrap">October 26, 2017	
Fire Emblem Warriors	Omega Force, Team Ninja, Intelligent Systems	Nintendo	<span data-sort-value="000000002017-10-20-0000" style="white-space:nowrap">October 20, 2017	
Galaxy Blaster Code Red	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-10-19-0000" style="white-space:nowrap">October 19, 2017	
Etrian Odyssey V: Beyond the Myth	Atlus	Atlus, Atlus USANA, Deep SilverPAL	<span data-sort-value="000000002017-10-17-0000" style="white-space:nowrap">October 17, 2017	
Little Adventure on the Prairie	Infinite Madaa	Infinite Madaa	<span data-sort-value="000000002017-10-12-0000" style="white-space:nowrap">October 12, 2017	
Layton’s Mystery Journey: Katrielle and the Millionaires’ Conspiracy	Level-5	Level-5, NintendoEU, NA	<span data-sort-value="000000002017-10-06-0000" style="white-space:nowrap">October 6, 2017	
'Mario & Luigi: Superstar Saga + Bowser''s Minions'	AlphaDream	Nintendo	<span data-sort-value="000000002017-10-06-0000" style="white-space:nowrap">October 6, 2017	
Symphony of Eternity	Kemco	Kemco	<span data-sort-value="000000002017-10-05-0000" style="white-space:nowrap">October 5, 2017	
Culdcept Revolt	Omiya Soft	NintendoJP, NIS AmericaNA, PAL	<span data-sort-value="000000002017-10-03-0000" style="white-space:nowrap">October 3, 2017	
Yo-kai Watch 2: Psychic Specters	Level-5	Level-5, Nintendo	<span data-sort-value="000000002017-09-29-0000" style="white-space:nowrap">September 29, 2017	
Frutakia 2	Crazysoft	Crazysoft	<span data-sort-value="000000002017-09-21-0000" style="white-space:nowrap">September 21, 2017	
Guide the Ghost	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-09-21-0000" style="white-space:nowrap">September 21, 2017	
Metroid: Samus Returns	MercurySteam	Nintendo	<span data-sort-value="000000002017-09-15-0000" style="white-space:nowrap">September 15, 2017	
'Percy''s Predicament Deluxe'	Maestro Interactive	Maestro Interactive	<span data-sort-value="000000002017-09-14-0000" style="white-space:nowrap">September 14, 2017	
Minecraft: New Nintendo 3DS Edition	Other Ocean Interactive	Mojang	<span data-sort-value="000000002017-09-13-0000" style="white-space:nowrap">September 13, 2017	
Monster Hunter Stories	Capcom	Capcom	<span data-sort-value="000000002017-09-08-0000" style="white-space:nowrap">September 8, 2017	
Crystareino	Kemco	Kemco	<span data-sort-value="000000002017-09-07-0000" style="white-space:nowrap">September 7, 2017	
Alchemic Dungeons	Flyhigh Works	Flyhigh Works	<span data-sort-value="000000002017-08-17-0000" style="white-space:nowrap">August 17, 2017	
Chicken Wiggle	Atooi	Atooi	<span data-sort-value="000000002017-08-17-0000" style="white-space:nowrap">August 17, 2017	
Elminage Original	Joyful Table	Rising Star Games, Joyful TableJP	<span data-sort-value="000000002017-08-10-0000" style="white-space:nowrap">August 10, 2017	
VoxelMaker	Nostatic Software	Nostatic Software	<span data-sort-value="000000002017-08-03-0000" style="white-space:nowrap">August 3, 2017	
Hey! Pikmin	Arzest	Nintendo	<span data-sort-value="000000002017-07-28-0000" style="white-space:nowrap">July 28, 2017	
Miitopia	Nintendo	Nintendo	<span data-sort-value="000000002017-07-28-0000" style="white-space:nowrap">July 28, 2017	
