title	developer	publisher	release date	
Epic Word Search Collection	Lightwood Games	Lightwood Games	<span data-sort-value="000000002015-06-23-0000" style="white-space:nowrap">June 23, 2015	
Best of Board Games: Chess	EKO Software	Bigben Interactive	<span data-sort-value="000000002015-06-18-0000" style="white-space:nowrap">June 18, 2015	
Lego Jurassic World	'Traveller''s Tales'	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002015-06-12-0000" style="white-space:nowrap">June 12, 2015	
Dr. Mario: Miracle Cure	Nintendo	Nintendo	<span data-sort-value="000000002015-06-11-0000" style="white-space:nowrap">June 11, 2015	
Angry Video Game Nerd Adventures	FreakZone Games	ScrewAttack	<span data-sort-value="000000002015-06-04-0000" style="white-space:nowrap">June 4, 2015	
Lord of Magna: Maiden Heaven	Marvelous	Marvelous Inc.JP, EU, Xseed GamesNA	<span data-sort-value="000000002015-06-02-0000" style="white-space:nowrap">June 2, 2015	
Glory of Generals The Pacific	Circle Entertainment	Circle Entertainment	<span data-sort-value="000000002015-05-25-0000" style="white-space:nowrap">May 25, 2015	
Puzzle & Dragons Z + Super Mario Bros. Edition	GungHo Online Entertainment	Nintendo	<span data-sort-value="000000002015-05-22-0000" style="white-space:nowrap">May 22, 2015	
Samurai Defender	Flyhigh Works, Link Kit	Circle Entertainment	<span data-sort-value="000000002015-05-21-0000" style="white-space:nowrap">May 21, 2015	
Stretchmo	Intelligent Systems	Nintendo	<span data-sort-value="000000002015-05-14-0000" style="white-space:nowrap">May 14, 2015	
Attack on Titan: Humanity in Chains	Spike Chunsoft	Atlus	<span data-sort-value="000000002015-05-12-0000" style="white-space:nowrap">May 12, 2015	
Bloo Kid 2	winterworks, TeyonJP	winterworks, TeyonJP	<span data-sort-value="000000002015-05-07-0000" style="white-space:nowrap">May 7, 2015	
Johnny Dynamite	TwoFiveSix	Starsign, Enjoy GamingNA	<span data-sort-value="000000002015-05-07-0000" style="white-space:nowrap">May 7, 2015	
Devil Survivor 2: Record Breaker	Atlus	Atlus	<span data-sort-value="000000002015-05-05-0000" style="white-space:nowrap">May 5, 2015	
Best Friends: My Horse 3D	Interactive Arts	Gamers Digital, Treva EntertainmentEU	<span data-sort-value="000000002015-04-30-0000" style="white-space:nowrap">April 30, 2015	
Heart Beaten	Springloaded	Springloaded	<span data-sort-value="000000002015-04-30-0000" style="white-space:nowrap">April 30, 2015	
Karous: The Beast of Re:Eden	Klon	Circle Entertainment	<span data-sort-value="000000002015-04-30-0000" style="white-space:nowrap">April 30, 2015	
Cube Creator 3D	Big John Games	Big John Games	<span data-sort-value="000000002015-04-23-0000" style="white-space:nowrap">April 23, 2015	
Dooors	Pumo	Pumo	<span data-sort-value="000000002015-04-16-0000" style="white-space:nowrap">April 16, 2015	
Pazuru	Moragami	Joindots	<span data-sort-value="000000002015-04-16-0000" style="white-space:nowrap">April 16, 2015	
Word Search by Powgi	Lightwood Games	Lightwood Games	<span data-sort-value="000000002015-04-16-0000" style="white-space:nowrap">April 16, 2015	
A-Train 3D: City Simulator	Artdink	Natsume	<span data-sort-value="000000002015-04-14-0000" style="white-space:nowrap">April 14, 2015	
Xenoblade Chronicles 3D	Monolith Soft	Nintendo	<span data-sort-value="000000002015-04-10-0000" style="white-space:nowrap">April 10, 2015	
Runny Egg	Tom Create	Tom Create	<span data-sort-value="000000002015-04-09-0000" style="white-space:nowrap">April 9, 2015	
Pokémon Rumble World	Ambrella	The Pokémon Company	<span data-sort-value="000000002015-04-08-0000" style="white-space:nowrap">April 8, 2015	
Etrian Mystery Dungeon	Atlus, Spike Chunsoft	Atlus	<span data-sort-value="000000002015-04-07-0000" style="white-space:nowrap">April 7, 2015	
BoxBoy!	HAL Laboratory	Nintendo	<span data-sort-value="000000002015-04-02-0000" style="white-space:nowrap">April 2, 2015	
Excave II: Wizard of the Underworld	Mechanic Arms	Bergsala Lightweight, Mechanic ArmsJP	<span data-sort-value="000000002015-04-02-0000" style="white-space:nowrap">April 2, 2015	
Story of Seasons	Marvelous	Marvelous AQLJP, Xseed GamesWW	<span data-sort-value="000000002015-03-31-0000" style="white-space:nowrap">March 31, 2015	
Lego Ninjago: Shadow of Ronin	'TT Fusion, Traveller''s Tales'	The Lego Group, Warner Bros. Interactive Entertainment	<span data-sort-value="000000002015-03-27-0000" style="white-space:nowrap">March 27, 2015	
Fossil Fighters: Frontier	Red Entertainment, Spike Chunsoft	Nintendo	<span data-sort-value="000000002015-03-20-0000" style="white-space:nowrap">March 20, 2015	
Code Name: S.T.E.A.M.	Intelligent Systems	Nintendo	<span data-sort-value="000000002015-03-14-0000" style="white-space:nowrap">March 14, 2015	
50 Pinch Barrage!!	Mobile & Game Studio	Mobile & Game Studio	<span data-sort-value="000000002015-03-12-0000" style="white-space:nowrap">March 12, 2015	
Best of Casual Games	Neko Entertainment	Bigben Interactive	<span data-sort-value="000000002015-03-05-0000" style="white-space:nowrap">March 5, 2015	
Hollywood Fame: Hidden Object Adventure	Most Wanted Entertainment	Bigben Interactive	<span data-sort-value="000000002015-03-05-0000" style="white-space:nowrap">March 5, 2015	
Mario vs. Donkey Kong: Tipping Stars	Nintendo Software Technology	Nintendo	<span data-sort-value="000000002015-03-05-0000" style="white-space:nowrap">March 5, 2015	
Proun+	Engine Software	Engine Software, Rainy FrogJP	<span data-sort-value="000000002015-03-05-0000" style="white-space:nowrap">March 5, 2015	
Zombie Incident	CoderChild	CoderChild	<span data-sort-value="000000002015-03-05-0000" style="white-space:nowrap">March 5, 2015	
IronFall: Invasion	VD-Dev	VD-Dev	<span data-sort-value="000000002015-02-26-0000" style="white-space:nowrap">February 26, 2015	
Adventure Bar Story	RideOn Japan	RideOn Japan	<span data-sort-value="000000002015-02-19-0000" style="white-space:nowrap">February 19, 2015	
Excave	Mechanic Arms	Teyon, Mechanic ArmsJP	<span data-sort-value="000000002015-02-19-0000" style="white-space:nowrap">February 19, 2015	
Flap Flap	Sanuk Games	Bigben Interactive	<span data-sort-value="000000002015-02-19-0000" style="white-space:nowrap">February 19, 2015	
Pokémon Shuffle	Game Freak	The Pokémon Company	<span data-sort-value="000000002015-02-18-0000" style="white-space:nowrap">February 18, 2015	
'The Legend of Zelda: Majora''s Mask 3D'	Nintendo EAD, Grezzo	Nintendo	<span data-sort-value="000000002015-02-13-0000" style="white-space:nowrap">February 13, 2015	
Monster Hunter 4 Ultimate	Capcom	Capcom, NintendoEU	<span data-sort-value="000000002015-02-13-0000" style="white-space:nowrap">February 13, 2015	
Pong Pong Candy	Lionant	Lionant	<span data-sort-value="000000002015-02-12-0000" style="white-space:nowrap">February 12, 2015	
Ace Combat: Assault Horizon Legacy +	Project Aces	Bandai Namco Games	<span data-sort-value="000000002015-02-10-0000" style="white-space:nowrap">February 10, 2015	
Kami	Circle Entertainment	Circle Entertainment	<span data-sort-value="000000002015-02-05-0000" style="white-space:nowrap">February 5, 2015	
Moon Chronicles: Episode 2	Renegade Kid	Renegade Kid	<span data-sort-value="000000002015-02-05-0000" style="white-space:nowrap">February 5, 2015	
SpongeBob HeroPants	Activision	Activision	<span data-sort-value="000000002015-02-03-0000" style="white-space:nowrap">February 3, 2015	
Gunman Clive 2	Hörberg Productions	Hörberg Productions	<span data-sort-value="000000002015-01-29-0000" style="white-space:nowrap">January 29, 2015	
Sumico	Engine Software	Engine Software, Rainy FrogJP	<span data-sort-value="000000002015-01-29-0000" style="white-space:nowrap">January 29, 2015	
Citizens of Earth	Eden Industries	Atlus	<span data-sort-value="000000002015-01-22-0000" style="white-space:nowrap">January 22, 2015	
Best of Mahjong	GameOn	GameOn	<span data-sort-value="000000002015-01-15-0000" style="white-space:nowrap">January 15, 2015	
Lionel City Builder 3D: Rise of the Rails	Big John Games	Big John Games, Arc System WorksJP	<span data-sort-value="000000002015-01-14-0000" style="white-space:nowrap">January 14, 2015	
Best of Solitaire	GameOn	GameOn	<span data-sort-value="000000002015-01-08-0000" style="white-space:nowrap">January 8, 2015	
Asterix: The Mansions of the Gods	Neopica	Bigben Interactive	<span data-sort-value="000000002014-12-18-0000" style="white-space:nowrap">December 18, 2014	
Fairune	Skipmore	Circle Entertainment, Flyhigh WorksJP	<span data-sort-value="000000002014-12-18-0000" style="white-space:nowrap">December 18, 2014	
Talking Phrasebook: 7 Languages	Sanuk Games	Sanuk Games	<span data-sort-value="000000002014-12-11-0000" style="white-space:nowrap">December 11, 2014	
Phoenix Wright: Ace Attorney Trilogy	Capcom	Capcom	<span data-sort-value="000000002014-12-09-0000" style="white-space:nowrap">December 9, 2014	
Ultimate NES Remix	Indies Zero	Nintendo	<span data-sort-value="000000002014-12-05-0000" style="white-space:nowrap">December 5, 2014	
Disney Violetta Rhythm & Music	Disney Interactive Studios	Disney Interactive Studios	<span data-sort-value="000000002014-12-04-0000" style="white-space:nowrap">December 4, 2014	
Persona Q: Shadow of the Labyrinth	Atlus	Atlus	<span data-sort-value="000000002014-11-25-0000" style="white-space:nowrap">November 25, 2014	
Pokémon Alpha Sapphire	Game Freak	The Pokémon Company	<span data-sort-value="000000002014-11-21-0000" style="white-space:nowrap">November 21, 2014	
Pokémon Omega Ruby	Game Freak	The Pokémon Company	<span data-sort-value="000000002014-11-21-0000" style="white-space:nowrap">November 21, 2014	
Battleminer	Wobbly Tooth	Wobbly Tooth	<span data-sort-value="000000002014-11-20-0000" style="white-space:nowrap">November 20, 2014	
Adventure Time: The Secret of the Nameless Kingdom	WayForward Technologies	Bergsala LightweightJP, Little OrbitWW	<span data-sort-value="000000002014-11-18-0000" style="white-space:nowrap">November 18, 2014	
Penguins of Madagascar	Little Orbit	Little Orbit	<span data-sort-value="000000002014-11-18-0000" style="white-space:nowrap">November 18, 2014	
Sonic Boom: Shattered Crystal	Sanzaru Games	Sega	<span data-sort-value="000000002014-11-18-0000" style="white-space:nowrap">November 18, 2014	
Castle Conqueror Defender	Circle Entertainment	Circle Entertainment, StarsignJP	<span data-sort-value="000000002014-11-13-0000" style="white-space:nowrap">November 13, 2014	
'I''ve Got to Run: Complete Edition'	4 Corner Games	4 Corner Games	<span data-sort-value="000000002014-11-13-0000" style="white-space:nowrap">November 13, 2014	
Picross e5	Jupiter	Jupiter	<span data-sort-value="000000002014-11-13-0000" style="white-space:nowrap">November 13, 2014	
Hello Kitty and Sanrio Friends 3D Racing	Majesco Entertainment	Majesco Entertainment	<span data-sort-value="000000002014-11-11-0000" style="white-space:nowrap">November 11, 2014	
Lego Batman 3: Beyond Gotham	'Traveller''s Tales'	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002014-11-11-0000" style="white-space:nowrap">November 11, 2014	
Teenage Mutant Ninja Turtles: Danger of the Ooze	Wayforward Technologies	Activision	<span data-sort-value="000000002014-11-11-0000" style="white-space:nowrap">November 11, 2014	
Tetris Ultimate	Ubisoft	Ubisoft	<span data-sort-value="000000002014-11-11-0000" style="white-space:nowrap">November 11, 2014	
Winx Club: Saving Alfea	Little Orbit	Little Orbit	<span data-sort-value="000000002014-11-11-0000" style="white-space:nowrap">November 11, 2014	
Kemonomix Plus	Rocket Studio	Rocket Studio	<span data-sort-value="000000002014-11-06-0000" style="white-space:nowrap">November 6, 2014	
Disney Planes: Fire & Rescue	Disney Interactive Studios	Little Orbit	<span data-sort-value="000000002014-11-04-0000" style="white-space:nowrap">November 4, 2014	
Harvest Moon: The Lost Valley	Tabot	Natsume	<span data-sort-value="000000002014-11-04-0000" style="white-space:nowrap">November 4, 2014	
Disney Big Hero 6: Battle in the Bay	GameMill Entertainment	GameMill Entertainment	<span data-sort-value="000000002014-10-28-0000" style="white-space:nowrap">October 28, 2014	
The Legend of Korra: A New Era Begins	PlatinumGames	Activision	<span data-sort-value="000000002014-10-28-0000" style="white-space:nowrap">October 28, 2014	
Power Rangers Super Megaforce	Bandai Namco Games	Bandai Namco Games	<span data-sort-value="000000002014-10-28-0000" style="white-space:nowrap">October 28, 2014	
Fantasy Life	Level-5	Nintendo, Level-5JP	<span data-sort-value="000000002014-10-24-0000" style="white-space:nowrap">October 24, 2014	
Pokémon Art Academy	Headstrong Games	The Pokémon Company	<span data-sort-value="000000002014-10-24-0000" style="white-space:nowrap">October 24, 2014	
Castle Conqueror EX	Circle Entertainment	Circle Entertainment	<span data-sort-value="000000002014-10-23-0000" style="white-space:nowrap">October 23, 2014	
'Shantae and the Pirate''s Curse'	WayForward Technologies, Inti Creates	WayForward Technologies, IntegrowJP	<span data-sort-value="000000002014-10-23-0000" style="white-space:nowrap">October 23, 2014	
Duck Dynasty	Activision	Activision	<span data-sort-value="000000002014-10-14-0000" style="white-space:nowrap">October 14, 2014	
Pac-Man and the Ghostly Adventures 2	Monkey Bar Games, Bandai Namco Games	Bandai Namco Games	<span data-sort-value="000000002014-10-14-0000" style="white-space:nowrap">October 14, 2014	
Petz Beach	Ubisoft	Ubisoft	<span data-sort-value="000000002014-10-14-0000" style="white-space:nowrap">October 14, 2014	
Petz Countryside	Ubisoft	Ubisoft	<span data-sort-value="000000002014-10-14-0000" style="white-space:nowrap">October 14, 2014	
Poptropica: Forgotten Islands	Ubisoft	Ubisoft	<span data-sort-value="000000002014-10-14-0000" style="white-space:nowrap">October 14, 2014	
Woah Dave!	Choice Provisions	Gaijin Games	<span data-sort-value="000000002014-10-14-0000" style="white-space:nowrap">October 14, 2014	
Tenkai Knights: Brave Battle	Bandai Namco Games	Bandai Namco Games	<span data-sort-value="000000002014-10-07-0000" style="white-space:nowrap">October 7, 2014	
Skylanders: Trap Team	Beenox	Activision	<span data-sort-value="000000002014-10-05-0000" style="white-space:nowrap">October 5, 2014	
Super Smash Bros. for Nintendo 3DS	Sora Ltd., Bandai Namco Games	Nintendo	<span data-sort-value="000000002014-10-03-0000" style="white-space:nowrap">October 3, 2014	
Yu-Gi-Oh! Zexal: World Duel Carnival	Konami	Konami	<span data-sort-value="000000002014-09-25-0000" style="white-space:nowrap">September 25, 2014	
FIFA 15: Legacy Edition	EA Canada	Electronic Arts	<span data-sort-value="000000002014-09-23-0000" style="white-space:nowrap">September 23, 2014	
Horse Vet 3D	Independent Arts	Treva Entertainment	<span data-sort-value="000000002014-09-18-0000" style="white-space:nowrap">September 18, 2014	
Cooking Mama 5: Bon Appétit!	Cooking Mama Limited	Majesco Entertainment, Cooking Mama LimitedJP, NintendoPAL	<span data-sort-value="000000002014-09-16-0000" style="white-space:nowrap">September 16, 2014	
Theatrhythm Final Fantasy: Curtain Call	Square Enix	Square Enix	<span data-sort-value="000000002014-09-16-0000" style="white-space:nowrap">September 16, 2014	
Hideaways: Foggy Valley	Teyon	Selectsoft	<span data-sort-value="000000002014-09-12-0000" style="white-space:nowrap">September 12, 2014	
The Keep	Cinemax	Cinemax	<span data-sort-value="000000002014-09-11-0000" style="white-space:nowrap">September 11, 2014	
Tappingo 2	Goodbye Galaxy Games	Goodbye Galaxy Games	<span data-sort-value="000000002014-09-04-0000" style="white-space:nowrap">September 4, 2014	
Azure Striker Gunvolt	Inti Creates	Inti Creates	<span data-sort-value="000000002014-08-29-0000" style="white-space:nowrap">August 29, 2014	
'Dedede''s Drum Dash Deluxe'	HAL Laboratory	Nintendo	<span data-sort-value="000000002014-08-29-0000" style="white-space:nowrap">August 29, 2014	
Kirby Fighters Deluxe	HAL Laboratory	Nintendo	<span data-sort-value="000000002014-08-29-0000" style="white-space:nowrap">August 29, 2014	
Mighty Gunvolt	Inti Creates	Inti Creates	<span data-sort-value="000000002014-08-29-0000" style="white-space:nowrap">August 29, 2014	
Professor Layton vs. Phoenix Wright: Ace Attorney	Level-5, Capcom	Nintendo, Level-5JP	<span data-sort-value="000000002014-08-29-0000" style="white-space:nowrap">August 29, 2014	
Thorium Wars: Attack of the Skyfighter	Big John Games	Big John Games	<span data-sort-value="000000002014-08-28-0000" style="white-space:nowrap">August 28, 2014	
BlazBlue: Clone Phantasma	Arc System Works	Arc System Works	<span data-sort-value="000000002014-08-21-0000" style="white-space:nowrap">August 21, 2014	
Demon King Box	Circle Entertainment	Circle Entertainment, Lanan	<span data-sort-value="000000002014-08-21-0000" style="white-space:nowrap">August 21, 2014	
Gothic Masquerade	Teyon	Selectsoft	<span data-sort-value="000000002014-08-14-0000" style="white-space:nowrap">August 14, 2014	
Hidden Haunts: Gothic Masquerade	Teyon	Selectsoft	<span data-sort-value="000000002014-08-14-0000" style="white-space:nowrap">August 14, 2014	
Teenage Mutant Ninja Turtles	Magic Pockets	Activision	<span data-sort-value="000000002014-08-05-0000" style="white-space:nowrap">August 5, 2014	
Steel Empire	Mebius	Starfish SDJP, Teyon	<span data-sort-value="000000002014-07-31-0000" style="white-space:nowrap">July 31, 2014	
Lego Ninjago: Nindroids	'Hellbent Games, Traveller''s Tales'	TT Games, Warner Bros. Interactive Entertainment, The Lego Group	<span data-sort-value="000000002014-07-29-0000" style="white-space:nowrap">July 29, 2014	
101 Pony Pets 3D	Teyon	Selectsoft	<span data-sort-value="000000002014-07-24-0000" style="white-space:nowrap">July 24, 2014	
Rabi Laby 3	Silver Star	Silver Star, AgetecNA, PAL	<span data-sort-value="000000002014-07-10-0000" style="white-space:nowrap">July 10, 2014	
One Piece: Unlimited World Red	Ganbarion	Bandai Namco Games	<span data-sort-value="000000002014-07-08-0000" style="white-space:nowrap">July 8, 2014	
Scooby-Doo! & Looney Tunes Cartoon Universe Adventure	WayForward Technologies	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002014-07-08-0000" style="white-space:nowrap">July 8, 2014	
Bike Rider DX2: Galaxy	Spicysoft	Spicysoft	<span data-sort-value="000000002014-07-03-0000" style="white-space:nowrap">July 3, 2014	
Glory of Generals	Circle Entertainment	Circle Entertainment	<span data-sort-value="000000002014-07-03-0000" style="white-space:nowrap">July 3, 2014	
Cocoro: Line Defender	Moving Player	Moving Player	<span data-sort-value="000000002014-06-26-0000" style="white-space:nowrap">June 26, 2014	
Hidden Expedition: Titanic	Big Fish Games	Big Fish Games	<span data-sort-value="000000002014-06-26-0000" style="white-space:nowrap">June 26, 2014	
Shovel Knight	Yacht Club Games	Yacht Club Games, NintendoJP	<span data-sort-value="000000002014-06-26-0000" style="white-space:nowrap">June 26, 2014	
SkyPeace	Sonic Powered	Sonic Powered	<span data-sort-value="000000002014-06-26-0000" style="white-space:nowrap">June 26, 2014	
Toy Stunt Bike	Wobbly Tooth	Wobbly Tooth, CosenJP	<span data-sort-value="000000002014-06-26-0000" style="white-space:nowrap">June 26, 2014	
Turtle Tale	Saturnine Games	Saturnine Games, TeyonJP	<span data-sort-value="000000002014-06-26-0000" style="white-space:nowrap">June 26, 2014	
Farming Simulator 14	Firebrand Games	Focus Home Interactive	<span data-sort-value="000000002014-06-24-0000" style="white-space:nowrap">June 24, 2014	
Transformers: Rise of the Dark Spark	WayForward Technologies	Activision	<span data-sort-value="000000002014-06-24-0000" style="white-space:nowrap">June 24, 2014	
2048	Cosmigo	Cosmigo	<span data-sort-value="000000002014-06-19-0000" style="white-space:nowrap">June 19, 2014	
Another World: 20th Anniversary Edition	Delphine Software	Digital Lounge	<span data-sort-value="000000002014-06-19-0000" style="white-space:nowrap">June 19, 2014	
European Conqueror 3D	Circle Entertainment	Circle Entertainment	<span data-sort-value="000000002014-06-19-0000" style="white-space:nowrap">June 19, 2014	
AiRace Xeno	QubicGames	QubicGames	<span data-sort-value="000000002014-06-12-0000" style="white-space:nowrap">June 12, 2014	
Van Helsing sniper Zx100	EnjoyUp Games	EnjoyUp Games	<span data-sort-value="000000002014-06-12-0000" style="white-space:nowrap">June 12, 2014	
How to Train Your Dragon 2	Torus Games	Little Orbit	<span data-sort-value="000000002014-06-10-0000" style="white-space:nowrap">June 10, 2014	
Tomodachi Life	Nintendo SPD	Nintendo	<span data-sort-value="000000002014-06-06-0000" style="white-space:nowrap">June 6, 2014	
1001 Spikes	8bits Fanatics	Nicalis	<span data-sort-value="000000002014-06-03-0000" style="white-space:nowrap">June 3, 2014	
Alien On The Run	G-Style	G-Style	<span data-sort-value="000000002014-05-22-0000" style="white-space:nowrap">May 22, 2014	
Putty Squad	System 3	Maximum Games	<span data-sort-value="000000002014-05-20-0000" style="white-space:nowrap">May 20, 2014	
Arc Style: Baseball 3D	Arc System Works	Arc System Works	<span data-sort-value="000000002014-05-15-0000" style="white-space:nowrap">May 15, 2014	
Moon Chronicles: Episode 1	Renegade Kid	Renegade Kid	<span data-sort-value="000000002014-05-15-0000" style="white-space:nowrap">May 15, 2014	
Candy Match 3	Sanuk Games	Bigben Interactive	<span data-sort-value="000000002014-05-14-0000" style="white-space:nowrap">May 14, 2014	
The Denpa Men 3: The Rise of the Digitoll	Genius Sonority	Genius Sonority	<span data-sort-value="000000002014-05-08-0000" style="white-space:nowrap">May 8, 2014	
Grinsia	Nicalis	Nicalis	<span data-sort-value="000000002014-05-08-0000" style="white-space:nowrap">May 8, 2014	
Kirby: Triple Deluxe	HAL Laboratory	Nintendo	<span data-sort-value="000000002014-05-02-0000" style="white-space:nowrap">May 2, 2014	
Mario Golf: World Tour	Camelot	Nintendo	<span data-sort-value="000000002014-05-02-0000" style="white-space:nowrap">May 2, 2014	
Azada	Big Fish Games	Big Fish Games	<span data-sort-value="000000002014-05-01-0000" style="white-space:nowrap">May 1, 2014	
Picross e4	Jupiter	Jupiter	<span data-sort-value="000000002014-05-01-0000" style="white-space:nowrap">May 1, 2014	
Tiny Games: Knights & Dragons	Engine Software	Joindots,EU Reactor,NA TeyonJP	<span data-sort-value="000000002014-05-01-0000" style="white-space:nowrap">May 1, 2014	
The Amazing Spider-Man 2	Beenox	Activision	<span data-sort-value="000000002014-04-29-0000" style="white-space:nowrap">April 29, 2014	
Gardening Mama 2: Forest Friends	Cooking Mama Limited	Majesco Entertainment, Cooking Mama LimitedJP	<span data-sort-value="000000002014-04-29-0000" style="white-space:nowrap">April 29, 2014	
'Legends of Oz: Dorothy''s Return'	Black Lantern Studios	GameMill Entertainment	<span data-sort-value="000000002014-04-29-0000" style="white-space:nowrap">April 29, 2014	
Bit Boy!! Arcade	Bplus	Bplus	<span data-sort-value="000000002014-04-17-0000" style="white-space:nowrap">April 17, 2014	
Smash Cat Heroes	Tom Create	Tom Create	<span data-sort-value="000000002014-04-17-0000" style="white-space:nowrap">April 17, 2014	
Atlantic Quest	Rokapublish	Maximum Games	<span data-sort-value="000000002014-04-15-0000" style="white-space:nowrap">April 15, 2014	
Conception II: Children of the Seven Stars	Spike Chunsoft	Atlus, Spike ChunsoftJP	<span data-sort-value="000000002014-04-15-0000" style="white-space:nowrap">April 15, 2014	
Mystery Case Files: Return to Ravenhearst	Big Fish Games	Big Fish Games	<span data-sort-value="000000002014-04-14-0000" style="white-space:nowrap">April 14, 2014	
Disney Magical World	h.a.n.d., Bandai Namco Games	Nintendo, NamcoJP	<span data-sort-value="000000002014-04-11-0000" style="white-space:nowrap">April 11, 2014	
Boxzle	Pouncing Kitten Games	Pouncing Kitten Games	<span data-sort-value="000000002014-04-10-0000" style="white-space:nowrap">April 10, 2014	
Governor of Poker	Teyon	Teyon	<span data-sort-value="000000002014-04-10-0000" style="white-space:nowrap">April 10, 2014	
Lego The Hobbit	'Traveller''s Tales'	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002014-04-08-0000" style="white-space:nowrap">April 8, 2014	
Mystery Case Files: Dire Grove	Big Fish Games	Big Fish Games	<span data-sort-value="000000002014-04-03-0000" style="white-space:nowrap">April 3, 2014	
Mystery Case Files: Ravenhearst	Big Fish Games	Big Fish Games	<span data-sort-value="000000002014-04-03-0000" style="white-space:nowrap">April 3, 2014	
I am an Air Traffic controller Airport Hero Hawaii	Sonic Powered	Sonic Powered	<span data-sort-value="000000002014-03-27-0000" style="white-space:nowrap">March 27, 2014	
Cut the Rope: Triple Treat	Fun Labs	Activision	<span data-sort-value="000000002014-03-25-0000" style="white-space:nowrap">March 25, 2014	
Pokémon Battle Trozei	Genius Sonority	The Pokémon Company	<span data-sort-value="000000002014-03-20-0000" style="white-space:nowrap">March 20, 2014	
'Yumi''s Odd Odyssey'	Studio Saizensen    Natsume     <span data-sort-value="000000002014-03-20-0000" style="white-space:nowrap">March 20, 2014
'Yoshi''s New Island'	Arzest	Nintendo	<span data-sort-value="000000002014-03-14-0000" style="white-space:nowrap">March 14, 2014	
Bubble Pop World	Cypronia	Cypronia	<span data-sort-value="000000002014-03-13-0000" style="white-space:nowrap">March 13, 2014	
The Mysterious Cities of Gold: Secret Paths	Neko Entertainment	Ynnis Interactive	<span data-sort-value="000000002014-03-06-0000" style="white-space:nowrap">March 6, 2014	
Professor Layton and the Azran Legacy	Level-5	Nintendo, Level-5JP	<span data-sort-value="000000002014-02-28-0000" style="white-space:nowrap">February 28, 2014	
Tappingo	Goodbye Galaxy Games	Circle Entertainment	<span data-sort-value="000000002014-02-27-0000" style="white-space:nowrap">February 27, 2014	
Kung Fu Rabbit	Ctools	Neko Entertainment	<span data-sort-value="000000002014-02-20-0000" style="white-space:nowrap">February 20, 2014	
Weapon Shop de Omasse	Level-5	Level-5	<span data-sort-value="000000002014-02-20-0000" style="white-space:nowrap">February 20, 2014	
AeternoBlade	Corecell Technology	Corecell Technology	<span data-sort-value="000000002014-02-18-0000" style="white-space:nowrap">February 18, 2014	
Inazuma Eleven	Level-5	Nintendo	<span data-sort-value="000000002014-02-13-0000" style="white-space:nowrap">February 13, 2014	
Steel Diver: Sub Wars	Nintendo EAD, Vitei	Nintendo	<span data-sort-value="000000002014-02-13-0000" style="white-space:nowrap">February 13, 2014	
One Piece: Romance Dawn	Three Rings	Bandai Namco Games	<span data-sort-value="000000002014-02-11-0000" style="white-space:nowrap">February 11, 2014	
Bravely Default	Silicon Studio, Square Enix	Nintendo, Square EnixJP	<span data-sort-value="000000002014-02-07-0000" style="white-space:nowrap">February 7, 2014	
The Lego Movie Videogame	TT Games, TT Fusion	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002014-02-07-0000" style="white-space:nowrap">February 7, 2014	
Retro City Rampage DX	Vblank Entertainment	Vblank Entertainment	<span data-sort-value="000000002014-02-06-0000" style="white-space:nowrap">February 6, 2014	
Moon Chronicles: Episode 3	Renegade Kid	Renegade Kid	<span data-sort-value="000000002014-02-05-0000" style="white-space:nowrap">February 5, 2014	
Moon Chronicles: Episode 4	Renegade Kid	Renegade Kid	<span data-sort-value="000000002014-02-05-0000" style="white-space:nowrap">February 5, 2014	
Pokémon Bank	Game Freak	The Pokémon Company	<span data-sort-value="000000002014-02-05-0000" style="white-space:nowrap">February 5, 2014	
Arc Style: Solitaire	Arc System Works	Arc System Works	<span data-sort-value="000000002014-01-30-0000" style="white-space:nowrap">January 30, 2014	
Chibi-Robo! Photo Finder	Skip Ltd.	Nintendo	<span data-sort-value="000000002014-01-09-0000" style="white-space:nowrap">January 9, 2014	
Bird Mania Christmas 3D	Teyon	Teyon	<span data-sort-value="000000002013-12-26-0000" style="white-space:nowrap">December 26, 2013	
Cubit the Hardcore Platformer Robot	CoderChild	CoderChild	<span data-sort-value="000000002013-12-26-0000" style="white-space:nowrap">December 26, 2013	
Edge	Two Tribes	Two Tribes	<span data-sort-value="000000002013-12-26-0000" style="white-space:nowrap">December 26, 2013	
Banana Bliss: Jungle Puzzles	Teyon	Teyon	<span data-sort-value="000000002013-12-19-0000" style="white-space:nowrap">December 19, 2013	
Life with Horses 3D	Independent Arts	Treva Entertainment	<span data-sort-value="000000002013-12-12-0000" style="white-space:nowrap">December 12, 2013	
Brilliant Hamsters!	Bergsala Lightweight	Bergsala Lightweight	<span data-sort-value="000000002013-12-05-0000" style="white-space:nowrap">December 5, 2013	
Hooked on Bass Fishing	Mechanic Arms	Gamebridge	<span data-sort-value="000000002013-12-05-0000" style="white-space:nowrap">December 5, 2013	
Heathcliff: Spot On	Enjoy Gaming	Enjoy Gaming	<span data-sort-value="000000002013-11-28-0000" style="white-space:nowrap">November 28, 2013	
